timestamp,symbol,ob_signal,ob_confidence,bid_ask_ratio,spread_pct,bid_wall_conc,ask_wall_conc,indicator_filter_passed,filter_reason,rsi,ema_fast,ema_slow,atr,volume_ratio
2026-06-01 01:18:48 UTC,BTCUSDT,SHORT,HIGH,0.1123,0.00258,0.4784,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:48 UTC,ETHUSDT,NEUTRAL,LOW,0.8904,0.04786,0.5273,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:48 UTC,SOLUSDT,SHORT,HIGH,0.8252,0.03643,0.725,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
2026-06-01 01:18:49 UTC,XRPUSDT,SHORT,HIGH,0.7385,0.00751,0.8125,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3330),48.23,1.333716,1.332952,0.004078,0.33
2026-06-01 01:18:49 UTC,BTCUSDT,SHORT,HIGH,0.0865,0.00258,0.4337,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:49 UTC,ETHUSDT,NEUTRAL,LOW,0.8904,0.04786,0.5273,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:50 UTC,SOLUSDT,SHORT,HIGH,0.8257,0.03643,0.7309,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
2026-06-01 01:18:50 UTC,XRPUSDT,SHORT,HIGH,0.7385,0.00751,0.8125,0.4633,False,EMA trend UP (fast=1.3337 > slow=1.3330),48.23,1.333716,1.332952,0.004078,0.33
2026-06-01 01:18:50 UTC,BTCUSDT,SHORT,HIGH,0.1185,0.00258,0.4328,0.6478,False,EMA trend UP (fast=73743.2868 > slow=73739.8377),43.52,73743.286775,73739.837668,147.291708,0.21
2026-06-01 01:18:50 UTC,ETHUSDT,NEUTRAL,LOW,0.8904,0.04786,0.5273,0.5184,True,Balanced book,,,,,
2026-06-01 01:18:51 UTC,SOLUSDT,SHORT,HIGH,0.8257,0.02428,0.7309,0.4066,False,EMA trend UP (fast=82.5146 > slow=82.3551),51.72,82.514595,82.355111,0.27887,0.23
